,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:remonetli@gmail.com,remonetli@gmail.com,"Продажа автомобилей ""N.G CAR""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""N.G CAR""
				ул. ХаМесила 23, Нешер								Тел. 04-6192727, 054-2812222remonetli@gmail.comhttps://facebook.com/remon.etli",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Автомобили, Мотоциклы (51) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд-Инн Кассис""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд-Инн Кассис""
				Шоссе ""Маалот-Нагария"", Меилия								Тел. 04-9572666, 050-7342368				Факс. 04-9572669",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:moshepardo@gmail.com,moshepardo@gmail.com,"Мотоциклы, скутеры - продажа и ремонт","Автомобили, Мотоциклы (51) ","
				Мотоциклы, скутеры - продажа и ремонт
				ул. Халуцей ХаТа'асия 10, Хайфа								Тел. 04-8738815, 052-8418728, 050-5247030moshepardo@gmail.comhttp://adrenaline.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Электровелосипеды Натаниэль - Biram","Автомобили, Мотоциклы (51) ","
				Электровелосипеды Натаниэль - Biram
				ул. Шиват Цион 1, Хайфа								Тел. 054-2625464, 04-6333801",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:cohencars@walla.com,cohencars@walla.com,"Продажа автомобилей ""Рехев Коэн""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Коэн""
				ул. ХаМусахим 53, Хайфа				(Чек-Пост)				Тел. 04-8723963, 04-8723957, 050-5234984				Факс. 04-8723963cohencars@walla.comhttps://www.facebook.com/cohencartradein/",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:yairash@gmail.com‬,yairash@gmail.com‬,"Продажа автомобилей, гараж, автомойка ","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей, гараж, автомойка 
				ул. ХаХарошет 17, Кармиэль				(рядом с АЗС ""Дор Алон"")				Тел. 053-5415791, 04-9985576				Факс. 04-9985977yairash@gmail.com‬https://facebook.com/perykarmiel",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:kalil101@walla.co.il,kalil101@walla.co.il,"Автомобили ""Рехев Клиль""","Автомобили, Мотоциклы (51) ","
				Автомобили ""Рехев Клиль""
				ул. Барекет 7, Хайфа				(Чекпост)				Тел. 052-3488995				Факс. 04-8494811kalil101@walla.co.ilhttp://kalilcar.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:royal1@mct.co.il,royal1@mct.co.il,"Центр обслуживания и салон ""Honda"" ","Автомобили, Мотоциклы (51) ","
				Центр обслуживания и салон ""Honda"" 
				ул. Шломо Шрира 100, Маалот				(промзона)				Тел. 04-9575002				Факс. 04-9570356royal1@mct.co.ilhttp://honda.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Г.Н. Кар""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Г.Н. Кар""
				Кибуц Хосен (рядом с Маалот)				(главн. дорога)				Тел. 054-4394252, 050-3244689",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Покупка автомобилей - Сохнут Ото Мор","Автомобили, Мотоциклы (51) ","
				Покупка автомобилей - Сохнут Ото Мор
				Весь Израиль								Тел. 050-5206841, 054-5578188, 04-8644202				Факс. 04-8644202",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Автомобили ""Кар Дил""","Автомобили, Мотоциклы (51) ","
				Автомобили ""Кар Дил""
				Маджд аль-Крум				(рядом с Кармиэлем)				Тел. 052-4580888, 052-6400001",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:shayt@pery.co.il,shayt@pery.co.il,"Продажа и аренда автомобилей ""Pery""","Автомобили, Мотоциклы (51) ","
				Продажа и аренда автомобилей ""Pery""
				ул. Леон Штайн 4, Хайфа				(Чекпост)				Тел. 050-4405555, 04-8416666shayt@pery.co.ilhttp://pery.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:info@straus.co.il,info@straus.co.il,"""Subaru"" в Хайфе - ""Штраус убно"" ","Автомобили, Мотоциклы (51) ","
				""Subaru"" в Хайфе - ""Штраус убно"" 
				ул. Дерех Яффа 121, Хайфа								Тел. 04-8528241, 050-2030778info@straus.co.ilhttp://straus.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:auto_media@netvision.net.il,auto_media@netvision.net.il,"Автомобильная электроника и звук ""Авто Медиа""","Автомобили, Мотоциклы (51) ","
				Автомобильная электроника и звук ""Авто Медиа""
				ул. Хаитстадион 18, Кирьят Хаим								Тел. 04-8492206auto_media@netvision.net.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд Инн Йосеф""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд Инн Йосеф""
				ул. ХаНасси Герцог, Маалот				(западный въезд)				Тел. 052-7324939",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:tesco.zvi@gmail.com,tesco.zvi@gmail.com,"Электровелосипеды ""Tesco""","Автомобили, Мотоциклы (51) ","
				Электровелосипеды ""Tesco""
				ул. Джеймс Ватт 5, Хайфа								Тел. 04-8722722				Факс. 04-8726289tesco.zvi@gmail.comhttp://tesco.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд Инн Кар Азам""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд Инн Кар Азам""
				ул. Дерех Яффа 108, Хайфа								Тел. 04-9912412				Факс. 04-9912256",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Трэйд-Кар""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд-Кар""
				ул. ХаГистадрут 16, Хайфа				(Чек-Пост)				Тел. 04-8626605, 050-6570551, 052-6661132",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:kalnoit1@gmail.com,kalnoit1@gmail.com,"Скутеры и электровелосипеды ""Калноит""","Автомобили, Мотоциклы (51) ","
				Скутеры и электровелосипеды ""Калноит""
				Шломи				(промзона)				Тел. 04-9875767, 052-8977987				Факс. 04-9875844kalnoit1@gmail.comhttp://www.ilkalnoit.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Салон - Сервисный Центр ""Volkswagen""","Автомобили, Мотоциклы (51) ","
				Салон - Сервисный Центр ""Volkswagen""
				ул. Йосеф Леви 32, Кирьят Бялик				(промзона)				Тел. 04-8746226, 054-6577802				Факс. 04-8747407http://vw.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Шломо Сикст""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Шломо Сикст""
				ул. ХаХарошет 59, Кармиэль								Тел. 04-9082055, 052-7273130, 050-8500081				Факс. 04-9884023http://www.shlomo.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Шиномонтаж и продажа автомобилей","Автомобили, Мотоциклы (51) ","
				Шиномонтаж и продажа автомобилей
				Маджд Аль Крум				(на въезде)				Тел. 050-7204440, 050-5576387",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Nikolas Car""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Nikolas Car""
				Кфар-Ясиф				(рядом с АЗС ""Делек"")				Тел. 04-9563891, 052-8641609, 050-7285807				Факс. 04-9563891http://www.nicolascar.com/",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:Elit777@walla.co.il,Elit777@walla.co.il,"Продажа автомобилей ""Элит ХаРехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Элит ХаРехев""
				ул. Маале Камон 43, Кармиэль								Тел. 04-8734734, 052-3200383				Факс. 04-8734734Elit777@walla.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Набиа Тивух Вэрехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Набиа Тивух Вэрехев""
				Ярка				(Не доезжая до т.ц. ""Кенан"")				Тел. 050-5694419",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Айя вэАдам""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Айя вэАдам""
				Ярка				(рядом с т.ц. ""Амш Стар"")				Тел. 050-5610598, 050-4610598",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Асентер""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Асентер""
				Меилия				(напротив т.ц. ""Аси Центер"")				Тел. 050-4884499, 050-9220222				Факс. 04-9571636",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""А.А. Ото Кредит""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""А.А. Ото Кредит""
				Ярка				(на въезде)				Тел. 057-999611, 057-6999610, 057-7725563				Факс. 04-9968420",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев ХаГалиль""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев ХаГалиль""
				Ярка				(на кольце, перед поворотом на т.ц. ""Амш Стар"")				Тел. 050-5507427				Факс. 04-9968819",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:alnasr.ltd@gmail.com,alnasr.ltd@gmail.com,"Продажа автомобилей ""Альнаср""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Альнаср""
				Кфар-Ясиф				(при въезде со стороны Кабри, по правой стороне)				Тел. 04-9967914, 04-9964480				Факс. 04-9996936alnasr.ltd@gmail.comhttp://www.alnasr.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:asidcar@walla.com,asidcar@walla.com,"Продажа автомобилей ""Рехев Аси""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Аси""
				Ярка				(не доезжая до ""Теста"", по левой стороне)				Тел. 050-5743258asidcar@walla.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Амир""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Амир""
				Ярка				(первое кольцо)				Тел. 04-9961889, 050-7629343/1				Факс. 04-9961889",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Бисан""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Бисан""
				Кфар-Ясиф				(при въезде, по правой стороне)				Тел. 04-9566106, 050-7616397, 057-5980401/3, 054-4740957",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Мерказ ХаРехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Мерказ ХаРехев""
				Ярка				(налево на кольце ""Мерказ Амазон"")				Тел. 04-9963265, 050-5276845, 050-7220623",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Школа вождения в Хайфе - ""Автошкола Ольга""","Автошколы/Мотошколы (10) ","
				Школа вождения в Хайфе - ""Автошкола Ольга""
				ул. ХаМегиним 81, Хайфа								Тел. 050-4920900",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
,,"Школа вождения ""ХаМиграш Бохан"" в Хайфе","Автошколы/Мотошколы (10) ","
				Школа вождения ""ХаМиграш Бохан"" в Хайфе
				ул. ХаГистадрут 141, Хайфа								Тел. 04-8727465, 052-3470732, 052-2792457http://hamigrash-bohan.co.il",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Автошколы/Мотошколы (10) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:mishkalev@gmail.com,mishkalev@gmail.com,"Учитель вождения в Крайот ""Михаил Левин""","Автошколы/Мотошколы (10) ","
				Учитель вождения в Крайот ""Михаил Левин""
				Крайот								Тел. 052-2849406, 054-4849025mishkalev@gmail.com",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
,,"Учитель вождения в Крайот Филипп Кержнер","Автошколы/Мотошколы (10) ","
				Учитель вождения в Крайот Филипп Кержнер
				Крайот								Тел. 052-2660972, 04-8717431http://kerzhner.co/index_rus.html",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
,,"Школа вождения ""Мирон"" в Кармиэле","Автошколы/Мотошколы (10) ","
				Школа вождения ""Мирон"" в Кармиэле
				т.ц. ""Кикар Хаир"", Кармиэль								Тел. 04-9984670, 057-8888890, 052-2817580",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:victor1002@bezeqint.net,victor1002@bezeqint.net,"Школа вождения ""Нетивей ХаГалиль""","Автошколы/Мотошколы (10) ","
				Школа вождения ""Нетивей ХаГалиль""
				ул. ХаХарошет 5, Кармиэль								Тел. 04-9989584, 052-2619587, 052-3221157victor1002@bezeqint.net",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:israellevy01@gmail.com,israellevy01@gmail.com,"Учитель вождения в Кармиэле - Исраэль Леви","Автошколы/Мотошколы (10) ","
				Учитель вождения в Кармиэле - Исраэль Леви
				ул. Бикурим 42, Кармиэль								Тел. 054-7451772israellevy01@gmail.com",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:supertesthaifa@gmail.com,supertesthaifa@gmail.com,"Гараж ""Super-Test""","Автошколы/Мотошколы (10) ","
				Гараж ""Super-Test""
				ул. ХаАшлаг 3, Хайфа				(Чекпост)				Тел. 04-8415054, 054-4415054supertesthaifa@gmail.comhttp://supertest.co.il",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
mailto:gregory1260@gmail.com,gregory1260@gmail.com,"Школа вождения ""Ламед""","Автошколы/Мотошколы (10) ","
				Школа вождения ""Ламед""
				ул. Керен Хайесод 4, Маалот								Тел. 04-9573676, 054-6667273gregory1260@gmail.com",http://info24.co.il/coupons/vse-goroda/avtoshkoly-motoshkoly
,,"Адвокат в Нагарии Вадим Бляйхер","Адвокаты, нотариусы (75) ","
				Адвокат в Нагарии Вадим Бляйхер
				ул. Вайцман 63, Нагария				(4-й эт.)				Тел. 04-9000506, 052-7565651",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
mailto:polin34960@walla.com,polin34960@walla.com,"Адвокат-нотариус Дмитрий Полин","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус Дмитрий Полин
				ул. Моше Шарет 7, Кирьят Ям								Тел. 04-8768264, 050-4246420, (+972)-50-4246420				Факс. 072-2813912polin34960@walla.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy
